app,channel,device,ip,os
3248.0,1642.0,1033413.0,,364804.0
5796274.0,,174330052.0,47.0,2215593.0
21642136.0,,8105054.0,,691125.0
33911780.0,875627.0,,,2904808.0
126275.0,862.0,1713.0,,593103.0
375533.0,9657.0,14379.0,24.0,152361.0
2464136.0,,12569.0,1454.0,4632561.0
1764954.0,,3075.0,,213026.0
3731948.0,,1259.0,,5278317.0
16458268.0,,1189.0,4029.0,4370878.0
684043.0,,38.0,1180.0,5262422.0
3466971.0,,1572.0,,1354955.0
24179003.0,,48.0,,2006410.0
4329409.0,115632.0,32.0,,39782808.0
10027169.0,22.0,574.0,,2503681.0
15958970.0,5786.0,167.0,,4408470.0
3921.0,,10147.0,,3081268.0
797335.0,223098.0,448.0,,9639776.0
15756587.0,55270.0,6742.0,,8974159.0
922902.0,1282535.0,389.0,846.0,44181914.0
1758934.0,,2031.0,5971.0,4013563.0
3616407.0,303235.0,5430.0,,116237.0
684604.0,15475.0,160.0,,7414405.0
2675259.0,,110.0,,1844222.0
1259100.0,70455.0,278.0,,374367.0
1467907.0,,1786.0,446.0,4156096.0
3126136.0,,174.0,,881482.0
1296189.0,,188.0,5007.0,1787478.0
1311496.0,,131.0,,1317819.0
652090.0,6.0,408.0,,103442.0
3528.0,187558.0,4199.0,,1156169.0
3362.0,,23.0,1039.0,767158.0
485426.0,,187.0,240.0,1658075.0
36345.0,,5337.0,451.0,
3086.0,,481.0,,263965.0
91106.0,,260.0,,1687198.0
173178.0,,937.0,6743.0,714142.0
73776.0,,3474.0,,2905944.0
25636.0,,119.0,,177767.0
19126.0,,79.0,596.0,94800.0
265.0,,12351.0,,660470.0
519.0,,19.0,,2467180.0
5939.0,,1019.0,,405828.0
15960.0,,82.0,,331317.0
14733.0,,470.0,,175911.0
77929.0,,615.0,3755.0,14438.0
37907.0,,3001.0,,287971.0
89441.0,,56.0,,1450205.0
4936.0,,68.0,,167284.0
4925.0,,446.0,,650690.0
6490.0,,2770.0,,72970.0
1701.0,,401.0,,
7822.0,,295.0,534.0,71580.0
9923.0,,893.0,,1356478.0
3449.0,,811.0,,2182.0
99831.0,,7.0,396.0,77345.0
106674.0,,2247.0,,129303.0
503.0,,185.0,,22188.0
82894.0,,344.0,,282315.0
9524.0,,24018.0,4579.0,23390.0
30083.0,,2335.0,670.0,14452.0
17091.0,,657.0,2146.0,6019.0
36827.0,,36.0,755.0,36854.0
,,212.0,3214.0,31167.0
1893969.0,,313.0,,67683.0
